,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Dominant topic,Cluster
Doc 935,0.02,0.02,0.02,0.02,0.66,0.24,0.02,Topic 4,Cluster 0
Doc 936,0.02,0.02,0.02,0.61,0.31,0.02,0.02,Topic 3,Cluster 0
Doc 937,0.01,0.74,0.01,0.01,0.21,0.01,0.01,Topic 1,Cluster 1
Doc 938,0.02,0.02,0.03,0.02,0.68,0.23,0.02,Topic 4,Cluster 0
Doc 939,0.01,0.01,0.84,0.01,0.1,0.01,0.01,Topic 2,Cluster 1
Doc 940,0.02,0.02,0.02,0.9,0.02,0.02,0.02,Topic 3,Cluster 0
Doc 941,0.03,0.01,0.76,0.01,0.17,0.01,0.01,Topic 2,Cluster 0
Doc 942,0.02,0.02,0.02,0.02,0.75,0.16,0.02,Topic 4,Cluster 0
Doc 943,0.01,0.01,0.01,0.01,0.84,0.09,0.01,Topic 4,Cluster 0
Doc 944,0.87,0.01,0.01,0.01,0.08,0.01,0.01,Topic 0,Cluster 1
Doc 945,0.03,0.03,0.03,0.83,0.03,0.03,0.03,Topic 3,Cluster 0
Doc 946,0.01,0.01,0.68,0.01,0.26,0.01,0.01,Topic 2,Cluster 0
Doc 947,0.02,0.01,0.02,0.01,0.71,0.22,0.01,Topic 4,Cluster 1
Doc 948,0.02,0.02,0.02,0.02,0.68,0.24,0.02,Topic 4,Cluster 0
Doc 949,0.02,0.02,0.02,0.02,0.74,0.18,0.02,Topic 4,Cluster 1
Doc 950,0.01,0.01,0.07,0.05,0.82,0.01,0.01,Topic 4,Cluster 0
Doc 951,0.01,0.01,0.01,0.54,0.39,0.01,0.01,Topic 3,Cluster 0
Doc 952,0.03,0.01,0.01,0.01,0.91,0.01,0.01,Topic 4,Cluster 0
Doc 953,0.01,0.01,0.01,0.01,0.42,0.52,0.01,Topic 5,Cluster 0
Doc 954,0.02,0.02,0.02,0.33,0.43,0.16,0.02,Topic 4,Cluster 0
Doc 955,0.83,0.01,0.01,0.01,0.12,0.01,0.01,Topic 0,Cluster 1
Doc 956,0.83,0.11,0.01,0.01,0.01,0.01,0.01,Topic 0,Cluster 1
Doc 957,0.71,0.01,0.01,0.01,0.22,0.01,0.01,Topic 0,Cluster 1
Doc 958,0.27,0.01,0.01,0.01,0.49,0.01,0.18,Topic 4,Cluster 1
Doc 959,0.83,0.01,0.01,0.01,0.1,0.01,0.01,Topic 0,Cluster 1
Doc 960,0.01,0.01,0.01,0.91,0.01,0.01,0.01,Topic 3,Cluster 0
Doc 961,0.01,0.01,0.01,0.16,0.77,0.01,0.01,Topic 4,Cluster 0
Doc 962,0.02,0.02,0.02,0.02,0.9,0.02,0.02,Topic 4,Cluster 0
Doc 963,0.01,0.01,0.67,0.01,0.28,0.01,0.01,Topic 2,Cluster 0
