,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Dominant topic,Cluster
Doc 163,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 164,0.99,0.0,0.0,0.0,0.0,0.0,0.0,Topic 0,Cluster 1
Doc 165,0.15,0.0,0.17,0.68,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 166,0.74,0.0,0.05,0.1,0.11,0.0,0.0,Topic 0,Cluster 1
Doc 167,0.2,0.04,0.0,0.1,0.62,0.0,0.04,Topic 4,Cluster 1
Doc 168,0.11,0.14,0.13,0.24,0.03,0.0,0.36,Topic 6,Cluster 1
Doc 169,0.08,0.0,0.0,0.0,0.64,0.28,0.0,Topic 4,Cluster 1
Doc 170,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 171,0.0,0.0,0.0,0.99,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 172,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Topic 5,Cluster 1
Doc 174,0.0,0.0,0.53,0.0,0.26,0.12,0.08,Topic 2,Cluster 1
Doc 175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 176,0.38,0.2,0.0,0.42,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 177,0.0,0.0,0.0,0.0,0.0,0.4,0.59,Topic 6,Cluster 1
Doc 178,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 180,0.0,0.84,0.0,0.15,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 181,0.0,0.0,0.99,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 182,0.0,0.0,0.61,0.0,0.0,0.32,0.07,Topic 2,Cluster 1
Doc 183,0.0,0.0,0.21,0.78,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 184,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 185,0.04,0.53,0.11,0.06,0.26,0.0,0.0,Topic 1,Cluster 1
Doc 186,0.0,0.0,0.0,0.87,0.0,0.13,0.0,Topic 3,Cluster 1
Doc 187,0.35,0.0,0.0,0.0,0.43,0.0,0.2,Topic 4,Cluster 1
Doc 188,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 189,0.0,0.0,0.0,0.05,0.32,0.62,0.0,Topic 5,Cluster 1
Doc 190,0.08,0.0,0.0,0.05,0.86,0.0,0.0,Topic 4,Cluster 1
Doc 191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 192,0.0,0.0,0.0,0.0,0.66,0.0,0.32,Topic 4,Cluster 1
Doc 193,0.0,0.73,0.17,0.1,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 194,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Topic 5,Cluster 1
Doc 195,0.97,0.0,0.0,0.02,0.0,0.0,0.0,Topic 0,Cluster 1
Doc 196,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 197,0.16,0.0,0.0,0.0,0.83,0.0,0.0,Topic 4,Cluster 1
Doc 198,0.0,0.0,0.0,0.0,0.59,0.0,0.41,Topic 4,Cluster 1
